"time","cs_adder1fmu1.y","cs_source1fmu1.y","cs_source1fmu2.y"
0.504,1.00513,1.99651,-0.946624
0.505,1.0074,1.99689,-0.943549
0.506,1.01006,1.99718,-0.940002
0.507,1.01273,1.99747,-0.936455
0.508,1.0154,1.99776,-0.932908
0.509,1.01807,1.99805,-0.929361
0.51,1.02074,1.99834,-0.925815
0.511,1.02381,1.99854,-0.921805
0.512,1.02687,1.99874,-0.917795
0.513,1.02994,1.99894,-0.913786
0.514,1.033,1.99913,-0.909776
0.515,1.03607,1.99933,-0.905767
0.516,1.03952,1.99944,-0.901304
0.517,1.04297,1.99955,-0.896842
0.518,1.04643,1.99966,-0.892379
0.519,1.04988,1.99977,-0.887917
0.52,1.05334,1.99988,-0.883455
0.521,1.05718,1.9999,-0.878551
0.522,1.06101,1.99992,-0.873647
0.523,1.06485,1.99994,-0.868743
0.524,1.06868,1.99996,-0.863839
0.525,1.07252,1.99998,-0.858934
0.526,1.07673,1.99991,-0.853601
0.527,1.08094,1.99984,-0.848268
0.528,1.08515,1.99977,-0.842934
0.529,1.08936,1.9997,-0.837601
0.53,1.09357,1.99963,-0.832267
0.531,1.09814,1.99947,-0.826518
0.532,1.10271,1.99931,-0.820769
0.533,1.10728,1.99915,-0.815019
0.534,1.11186,1.99899,-0.80927
0.535,1.11643,1.99883,-0.80352
0.536,1.12135,1.99858,-0.797369
0.537,1.12628,1.99833,-0.791218
0.538,1.1312,1.99808,-0.785067
0.539,1.13612,1.99783,-0.778916
0.54,1.14105,1.99758,-0.772764
0.541,1.14631,1.99724,-0.766227
0.542,1.15157,1.9969,-0.75969
0.543,1.15684,1.99656,-0.753152
0.544,1.1621,1.99622,-0.746615
0.545,1.16736,1.99588,-0.740077
0.546,1.17295,1.99545,-0.73317
0.547,1.17854,1.99502,-0.726263
0.548,1.18413,1.99459,-0.719355
0.549,1.18972,1.99416,-0.712448
0.55,1.19531,1.99373,-0.70554
0.551,1.20121,1.99321,-0.69828
0.552,1.20711,1.99269,-0.69102
0.553,1.21301,1.99217,-0.68376
0.554,1.21891,1.99165,-0.6765
0.555,1.22481,1.99113,-0.66924
0.556,1.23101,1.99052,-0.661645
0.557,1.23721,1.98991,-0.654051
0.558,1.24341,1.9893,-0.646456
0.559,1.2496,1.9887,-0.638861
0.56,1.2558,1.98809,-0.631267
0.561,1.26228,1.98739,-0.623356
0.562,1.26876,1.98669,-0.615446
0.563,1.27523,1.98599,-0.607536
0.564,1.28171,1.98529,-0.599626
0.565,1.28819,1.98459,-0.591716
0.566,1.29493,1.98381,-0.58351
0.567,1.30167,1.98302,-0.575304
0.568,1.30841,1.98223,-0.567098
0.569,1.31515,1.98144,-0.558892
0.57,1.32189,1.98065,-0.550686
0.571,1.32888,1.97978,-0.542204
0.572,1.33586,1.9789,-0.533723
0.573,1.34285,1.97802,-0.525242
0.574,1.34983,1.97715,-0.51676
0.575,1.35682,1.97627,-0.508279
0.576,1.36403,1.9753,-0.499544
0.577,1.37124,1.97434,-0.490808
0.578,1.37845,1.97337,-0.482073
0.579,1.38567,1.9724,-0.473338
0.58,1.39288,1.97144,-0.464602
0.581,1.4003,1.97038,-0.455635
0.582,1.40771,1.96933,-0.446667
0.583,1.41513,1.96827,-0.437699
0.584,1.42255,1.96722,-0.428732
0.585,1.42997,1.96616,-0.419764
0.586,1.43757,1.96502,-0.410587
0.587,1.44518,1.96388,-0.401409
0.588,1.45278,1.96274,-0.392232
0.589,1.46038,1.96159,-0.383054
0.59,1.46799,1.96045,-0.373877
0.591,1.47576,1.95922,-0.364512
0.592,1.48353,1.95799,-0.355148
0.593,1.4913,1.95675,-0.345784
0.594,1.49907,1.95552,-0.336419
0.595,1.50684,1.95429,-0.327055
0.596,1.51475,1.95297,-0.317527
0.597,1.52266,1.95165,-0.307999
0.598,1.53057,1.95033,-0.298471
0.599,1.53849,1.94901,-0.288943
0.6,1.5464,1.9477,-0.279415
0.601,1.55444,1.94629,-0.269748
0.602,1.56247,1.94488,-0.26008
0.603,1.5705,1.94347,-0.250413
0.604,1.57854,1.94207,-0.240745
0.605,1.58657,1.94066,-0.231078
0.606,1.59471,1.93917,-0.221295
0.607,1.60284,1.93767,-0.211512
0.608,1.61097,1.93618,-0.201729
0.609,1.6191,1.93468,-0.191946
0.61,1.62724,1.93319,-0.182163
0.611,1.63545,1.93161,-0.172288
0.612,1.64365,1.93003,-0.162414
0.613,1.65186,1.92844,-0.15254
0.614,1.66007,1.92686,-0.142666
0.615,1.66828,1.92528,-0.132792
0.616,1.67654,1.92361,-0.122851
0.617,1.6848,1.92195,-0.112911
0.618,1.69306,1.92028,-0.10297
0.619,1.70132,1.91861,-0.0930299
0.62,1.70958,1.91694,-0.0830894
0.621,1.71787,1.91519,-0.0731074
0.622,1.72616,1.91343,-0.0631253
0.623,1.73445,1.91168,-0.0531433
0.624,1.74274,1.90993,-0.0431613
0.625,1.75103,1.90817,-0.0331792
0.626,1.75932,1.90633,-0.0231806
0.627,1.76761,1.90449,-0.013182
0.628,1.7759,1.90265,-0.00318335
0.629,1.7842,1.90081,0.00681528
0.63,1.79249,1.89897,0.0168139
0.631,1.80076,1.89705,0.0268041
0.632,1.80904,1.89512,0.0367943
0.633,1.81731,1.89319,0.0467846
0.634,1.82558,1.89127,0.0567748
0.635,1.83385,1.88934,0.066765
0.636,1.84208,1.88733,0.0767218
0.637,1.85031,1.88532,0.0866787
0.638,1.85854,1.88331,0.0966355
0.639,1.86676,1.8813,0.106592
0.64,1.87499,1.87929,0.116549
0.641,1.88315,1.8772,0.126448
0.642,1.89131,1.8751,0.136346
0.643,1.89947,1.87301,0.146245
0.644,1.90763,1.87091,0.156144
0.645,1.91579,1.86882,0.166042
0.646,1.92385,1.86664,0.175858
0.647,1.93191,1.86446,0.185673
0.648,1.93998,1.86228,0.195489
0.649,1.94804,1.8601,0.205304
0.65,1.95611,1.85792,0.21512
0.651,1.96405,1.85566,0.224828
0.652,1.972,1.85339,0.234536
0.653,1.97995,1.85113,0.244244
